job_role,required_skills
Data Scientist,"Python, SQL, Machine Learning, Statistics, Data Analysis, Pandas"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Automation, Linux, Cloud"
Backend Developer,"Java, Python, SQL, APIs, REST, Node.js, Databases"
Frontend Developer,"JavaScript, React, CSS, HTML, UI Design, TypeScript"
Cloud Architect,"AWS, Azure, Cloud, Networking, Security, Automation, Infrastructure"
Machine Learning Engineer,"Python, TensorFlow, Machine Learning, Deep Learning, Data Structures, Statistics"
Cybersecurity Analyst,"Networking, Security, Linux, Python, Threat Analysis, Firewalls"
Full Stack Developer,"JavaScript, Python, React, Node.js, SQL, APIs, HTML, CSS"
Database Administrator,"SQL, Databases, Data Structures, Backup, Performance Tuning, Linux"
Mobile App Developer,"Java, Kotlin, Swift, Mobile UI, APIs, Android, iOS"
Systems Administrator,"Linux, Networking, Automation, Cloud, Security, Scripting"
QA / Test Engineer,"Python, Automation, Testing, Selenium, CI/CD, Debugging"
Data Analyst,"SQL, Excel, Data Analysis, Statistics, Python, Visualization"
AI Research Engineer,"Python, Machine Learning, Deep Learning, Statistics, Research, TensorFlow"
Network Engineer,"Networking, Security, Cloud, Linux, Firewalls, Automation"
